KursBez|Klasse|Jahr|Abschnitt|Jahrgang|Fach|Kursart|Wochenstd.|Wochenstd. KL|Kursleiter|Epochenunterricht|Schulnr
SW-G2||2021|1|Q1|SW|GK|135|135|CZAR||
SW-G3||2021|1|Q2|SW|GK|135|135|RUDO||
SW-G1||2021|1|Q1|SW|GK|135|135|MANS||
SW-G1||2021|1|Q2|SW|GK|135|135|MÜL1||
SW-G2||2021|1|Q2|SW|GK|135|135|CZAR||
PL-G1||2021|1|Q1|PL|GK|135|135|REIM||
PL-G1||2021|1|Q2|PL|GK|135|135|HEYL||
PL-G2||2021|1|Q2|PL|GK|135|135|BERQ||
PP-1||2021|1|09|PP|PUT|135|135|REIM||
PP-1||2021|1|06|PP|PUT|135|135|REIM||
PP-2||2021|1|06|PP|PUT|135|135|HEYL||
PP-2||2021|1|09|PP|PUT|135|135|REIM||
KR-2||2021|1|09|KR|PUT|135|135|MAES||
KR-1||2021|1|09|KR|PUT|135|135|MAES||
KR-2||2021|1|06|KR|PUT|135|135|KIßL||
KR-1||2021|1|06|KR|PUT|135|135|MAES||
KR-G1||2021|1|Q2|KR|GK|135|135|MAES||
KR-G1||2021|1|Q1|KR|GK|135|135|KIßL||
ER-2||2021|1|09|ER|PUT|135|135|BEIT||
ER-1||2021|1|06|ER|PUT|135|135|BROD||
ER-1||2021|1|09|ER|PUT|135|135|CRUM||
ER-G1||2021|1|Q2|ER|GK|135|135|NISS||
ER-G1||2021|1|Q1|ER|GK|135|135|CRUM||
ER-2||2021|1|06|ER|PUT|135|135|CRUM||
M-G3||2021|1|Q2|M|GK|135|135|DÜRC||
M-G1||2021|1|Q2|M|GK|135|135|HAVE||
M-G1||2021|1|Q1|M|GK|135|135|FORS||
M-L1||2021|1|Q2|M|LK|225|225|SARC||
M-G2||2021|1|Q2|M|GK|135|135|HAGE||
M-G2||2021|1|Q1|M|GK|135|135|HAVE||
BI-G2||2021|1|Q2|BI|GK|135|135|DIEB||
BI-G1||2021|1|Q2|BI|GK|135|135|VORS||
BI-G1||2021|1|Q1|BI|GK|135|135|KRÄM||
BI-L1||2021|1|Q2|BI|LK|225|225|KRÄM||
BI-G2||2021|1|Q1|BI|GK|135|135|BALD||
PH-G1||2021|1|Q2|PH|GK|135|135|CZEK||
PH-G2||2021|1|Q2|PH|GK|135|135|HAVE||
PH-L1||2021|1|Q2|PH|LK|225|225|HAVE||
PH-G1||2021|1|Q1|PH|GK|135|135|CZEK||
CH-G1||2021|1|Q2|CH|GK|135|135|DÜRC||
CH-G2||2021|1|Q2|CH|GK|135|135|HAG1||
CH-G2||2021|1|Q1|CH|GK|135|135|FARC||
CH-G1||2021|1|Q1|CH|GK|135|135|HAG1||
IF-G1||2021|1|Q2|IF|GK|135|135|NISS||
IF-G1||2021|1|Q1|IF|GK|135|135|NISS||
SP-G1||2021|1|Q2|SP|GK|135|135|FRE1||
SP-G3||2021|1|Q2|SP|GK|135|135|HEYD||
SP-G2||2021|1|Q2|SP|GK|135|135|MOMS||
SP-G1||2021|1|Q1|SP|GK|135|135|RUDO||
SP-G2||2021|1|Q1|SP|GK|135|135|SCHI||
WP2-IF||2021|1|09|WP2 IF|WPII|135|135|KÜHN||
WP2-IF||2021|1|EF|WP2 IF|WPII|135|135|NISS||
WP2-EA||2021|1|EF|WP2 EA|WPII|135|135|SPIE||
WP2-EA||2021|1|09|WP2 EA|WPII|135|135|BERQ||
WP2-GP||2021|1|09|WP2 GP|WPII|135|135|BROD||
WP2-GP||2021|1|EF|WP2 GP|WPII|135|135|BROD||
WP2-DS||2021|1|09|WP2 DS|WPII|135|135|MALE||
WP2-DS||2021|1|EF|WP2 DS|WPII|135|135|REDE||
VKD-G1||2021|1|Q1|VKD|VTF|135|135|CZAR||
VKM-G1||2021|1|Q1|VKM|VTF|135|135|FORS||
